标题,作者,摘要,关键词
基于正逆序策略求解Job Shop的遗传调度算法,"王伟玲,李铁克,苏志雄","针对标准遗传算法在求解车间作业调度问题中易陷入局部极值点的缺点,提出了一种基于领域知识的动态双种群遗传算法.由于最优调度必定是活动调度,算法利用活动调度技术来进行空间缩减;两个子种群分别采用正、逆序调度策略来提高种群的多样性.算法采用一种新的染色体编码来表示活动调度方案,并给出了相应子种群的初始化策略、遗传操作,以及子种群之间的交叉方式.Benchmark算例的仿真实验与分析表明,该算法在计算时间和求解质量上均具有较好的效果.","车间作业调度,遗传算法,双种群,优化"
基于逐层演化的群体智能算法优化,"张水平,王碧,陈阳",为能彻底解决群体智能算法早熟问题的同时保持原算法主体不变且可与现有优化理论协同优化，在前期仿真实验和理论证明的基础上，提出了一种逐层演化的改进策略.利用在原算法中构建基于搜索空间压缩理论的自适应系统，通过逐层的压缩、选择、再初始化的操作，以包括压缩后搜索空间在内的社会信息作为遗传知识，指导寻优过程，从而实现最终解精度的提升、避免早熟问题的出现.对基准函数进行仿真实验可以看出该策略在提升算法精度，增强后期个体活性方面具有良好的表现.,"群体智能,搜索空间,逐层演化,早熟"
特种变压器生产车间数字孪生系统构建方法,"王大江,张学东,孙文磊,姜任奔,路程,岳媛",为解决特种变压器生产车间实时化管控弱、调度决策能力差、过程监控不直观、运行态势不明朗的问题，从特种变压器车间的数字孪生建模、知识信息融合、运行可靠性分析和可视化表达等方面入手，探讨了一种特种变压器车间数字孪生系统的新型体系架构；阐述了基于“5维度-4视角”模型、高性能算力孪生引擎及沉浸式可视化技术的数字孪生建模表达方法；研究了数字孪生车间指标体系的构建方法以及车间知识信息与数字孪生的融合方法；基于层次分析理论和关联熵方法，构建了一种基于复合物元信息熵的车间数字孪生系统可靠性分析模型；最后，以某特种变压器生产车间为应用案例，基于上述方法和模型，结合实际生产过程开发了原型数字孪生系统，实现了特种变压器车间的多维多尺度实时智能管控，验证了该方法的合理性和有效性.,"数字孪生,特种变压器,构建方法,数字化车间,知识信息融合"
基于人工免疫的故障诊断模型及其应用,"陈强,郑德玲,李湘萍","提出了一种基于免疫原理的故障检测及诊断系统模型.通过对检测对象正常工作状态下获得的自己模式串的阴性选择,随机产生初始检测器;利用基于人工免疫的进化学习机制,实现对检测对象异常工作状态下获得的非己模式串进行学习和记忆;利用进化学习结果和系统故障信息库知识,区分和标记不同故障在状态空间上对应的区域.将抗原学习过程中抗体集合变异所产生的各代抗体集合看作随机序列,给出了序列的收敛条件及证明,证明了所提出的动态免疫进化学习算法是概率弱收敛.应用于机床齿轮箱故障检测和诊断问题的实验结果表明了所提出方法的有效性.","人工免疫,进化学习,异常检测,故障诊断"
基于加权阈值容差关系的不完备信息系统粗糙集模型,"武森,蒲立,程锴,高学东","针对已有的不完备信息系统粗糙集扩充模型没有考虑属性的权重的缺点,提出基于加权阈值容差关系的粗糙集扩充模型.该模型根据给出的不完备信息系统信息量计算权重,不需引入系统外知识,权重确定比较客观;同时引入阈值来调整加权阈值容差类判定的严格程度,兼顾了人的主观要求,并能预先排除因自身不满足阈值条件而不可能与任何其他对象划为同一加权阈值容差类的对象,但不影响类的完整性.实例对比分析表明,与其他模型相比,基于加权阈值容差关系的粗糙集扩充模型符合不完备信息系统应用客观实际,具有更强的适应能力.","粗糙集理论,信息系统,容差分析,加权"
基于避险设施的火灾救援及避灾路线算法,"詹子娜,金龙哲,白楠,王奕","以VC#.net、SQL Server 2008和地理信息系统为平台，对矿井地图进行了具有地理属性开发的研究，建立了图形库、数据库、方法库和知识库，并构建了基于避险设施的矿井火灾应急救援系统。对矿井火灾进行了实时在线模拟，分析和预测了火灾动态发展趋势，实现了矿井火灾烟流传播和最佳避灾路线的动态可视化显示功能。引入安全性、通行效率等因素对灾后巷道通行能力的变化进行修正，制定了基于避险设施的最优避灾路线选择原则和""理想—可行—逃生""等级路线。利用堆栈数据结构对Dijkstra算法进行改进，提高了在线运算速度。该系统已应用到潞安常村煤矿。","矿山火灾,矿山救援,计算机模拟,路径算法,最佳路线,通行能力"
基于数据挖掘的热轧带钢质量分析方法,"李扬,王京,张勇军","带钢热连轧是一个多阶段的生产过程,在工序繁多的加工过程中与产品质量直接相关的控制参数和目标参数近百个.如何找到控制参数和目标参数之间存在的信息加以利用,提高热轧带钢产品质量一直是科研人员和工程技术人员努力的目标.研究表明,利用数据挖掘方法结合热连轧生产的工业特点,提取潜在的、有用的、最终可理解的工艺知识,得到质量缺陷与控制状态的对应关联关系,通过控制变量权值向量和数据挖掘高危关联状态集合综合分析,可以迅速对带钢质量问题的产生原因进行定位,找出关键控制变量做出调整,减少经济损失,提高生产效率,为热轧带钢产品质量问题分析提供科学、准确的思路.","数据挖掘,因子分析,故障逻辑分析,关联分析,质量分析"
钢铁工业逆向供应链服务过程模型,"王蕾,夏绪辉,熊颖清,刘军伟,周敏","根据钢铁工业逆向供应链流程,分析了钢铁工业逆向供应链及其服务的基本定义和三个服务主体的特征.在此基础上,构建了一种二层级三维度钢铁工业逆向供应链服务过程模型.在服务抽象维、服务组织与协同运作维、服务网络跨级控制与服务增值维等三个维度构成的空间里,完成由服务方案匹配与决策实现的三阶段构成的第一级服务响应以及由服务功能实现的两阶段构成的第二级服务响应过程.探讨了服务过程实现中的服务模块化、服务知识获取与共享、服务模块智能匹配等关键技术.以某钢铁企业废钢逆向供应服务为实际应用案例,验证了模型的可行性.","钢铁工业,供应链,服务,过程模型,模块化,匹配"
面向材料数据的主动回归学习方法,"张函,钱权,武星",材料的生产环境和测量条件不同，导致用于机器学习的材料数据的噪声较大。对材料数据进行标注需要一定的专业知识和专业技能，因此标注成本也相对较高。这两方面的因素给机器学习应用于材料领域带来了巨大挑战。为应对这个挑战，提出了一个主动回归学习方法，由离群点检测模块、贪婪采样模块和最小变化采样模块组成。同其他主动学习方法相比，该方法整合了离群点检测机制，选取高质量样本的同时有效地排除了噪声数据的影响，避免了沉没成本。在公开数据集和非公开数据集上与最新的主动回归学习方法进行了对比实验，实验结果表明本文方法在相同的数据量下训练的任务模型性能指标相比于其他模型平均提高15%，且只需30%~40%的数据量作为训练集就可以达到甚至超过使用全部数据训练任务模型的精度。,"主动学习,材料,离群点检测,回归,高质量样本"
空地数据实时传输下的飞机着陆风险预警方法,"王岩韬,赵昕颐",面向未来5G和卫星网构成的空地高通量互联场景，为实现飞机着陆风险提前预警。首先基于统计与模型，建立了一套以多源运行实时数据为主，融合历史统计和专家知识的着陆预警体系；然后，针对现有研究计算结果滞后问题，先通过对ARJ21飞机着陆过程快速存取记录器（QAR）数据的聚类分析，将飞行员着陆操作模式分为4类，进而构建基于决策场理论的飞行员着陆操作模式预测模型，计算并讨论不同场景下、不同个性飞行员的着陆模式选择；在上述基础上，针对着陆过程的复杂性和不确定性，提出一种分层计算的置信规则库推理方法，融合定性与定量信息实现着陆动态风险评估和预警。最后，通过对“2020.10.16攀枝花跑道外接地事件”和“2010.8.2伊春空难”着陆过程的风险推理验证了预警方法的有效性，其中攀枝花事件提前预警时间可达13 s。,"多源运行数据,着陆风险,风险预警,决策场理论,分层置信规则库"
面向建筑HVAC系统能效提升的模型预测控制方法综述,"郭斌, 黄孝斌, 李擎, 黄飞, 樊勇, 杨永亮, 黄超, 王昱洁, 何杰",建筑暖通空调（HVAC）是改善室内环境质量（IEQ）的关键设备。其控制技术的发展现状对于推动建筑能效的持续提升具有重要意义。为此，本文系统梳理了建筑HVAC系统控制方法的最新研究进展与前沿趋势。首先，从分离式控制及协同控制方法两个方面概述了建筑HVAC系统控制技术的主要发展历程，简述了当前在HVAC系统中广泛应用的经典模型预测控制（MPC）算法。其次，全面论述了MPC在建筑HVAC领域的四种衍生形式，包含随机MPC、分布式MPC、数据驱动MPC以及MPC与强化学习（RL）的融合方法。最后，从算法可迁移性与实时性、多时间尺度控制等方面讨论了四种MPC衍生形式存在的技术瓶颈，并指出了其在知识迁移与自适应学习、混合智能控制等方面的发展趋势。,"建筑HVAC系统,模型预测控制,数据驱动,强化学习,发展趋势"
平煤十矿地应力测量及其应用,"蔡美峰,郭奇峰,李远,杜振斐,刘金辉","平煤十矿采用三维套孔应力解除地应力测量技术和具有温度补偿功能的空心包体应变计,完成了矿区6个水平、11个测点的现场地应力实测,最大测点深度达到1123 m.这是我国煤矿首次采用应力解除法进行系统的矿区地应力测量并且测量深度超1100 m.通过测量获得了矿区11个测点的三维地应力状态,揭示了矿区地应力场的分布规律,建立了矿区地应力场模型.针对平煤十矿是我国典型的高瓦斯矿井、深部采矿存在引发煤(岩)爆和瓦斯爆炸的高危险性,本文提出:根据实测地应力数据,采用数值模拟技术,定量计算开挖扰动引起的开采煤层和围岩中能量聚集状况及其随采矿过程的变化规律,借助地震学的知识,根据能量聚集状态对未来开采可能引发煤(岩)爆的时间、地点和震级进行预测.","煤矿,应力测量,应力分析,数学模型,岩爆,预测"
崩落法采矿中放出体流动特性的影响因素,"孙浩,金爱兵,高永涛,周喻,杨振伟","基于颗粒元理论和PFC3D程序,构建具有矿石散体细观力学性质的放矿模型,开展崩落法采矿中放出体流动特性影响因素研究.运用统计学知识确定对放出体流动特性有显著影响的主要因素及其敏感性,得出其与放出体流动特性的关系,并通过已有研究结论与模拟结果的对比分析,验证了基于PFC3D程序的放矿模型在放出体流动特性影响因素研究中的适宜性与可靠性.研究表明:放出体颗粒形状、摩擦系数及放矿口尺寸三种因素是显著影响崩落矿岩流动特性的重要参数.在放矿初始阶段,放矿口尺寸对放出体形态影响最大,其次为摩擦系数,颗粒形状对其影响最小;在之后的放矿过程中,颗粒形状对放出体形态影响最大,其次为放矿口尺寸和摩擦系数.散体颗粒形状越不规则、散体内摩擦角越大以及放矿口尺寸越小则放矿越困难.","崩落法,流动特性,影响因素,数学模型"
高温应变片的热输出耦合特性,"王文瑞,温晓东,胡挺,张佳明","系统运用材料物理学、弹性力学、热力学、工程测试技术的理论知识以及有限元数值仿真、实验分析等方法,研究高温应变片热输出误差的影响因素并得出补偿修正模型.首先根据材料电阻温度效应理论及热膨胀理论研究了高温应变片热输出的耦合特性,建立耦合作用下高温应变片的热输出模型,得到了构件、胶层和应变片三者耦合作用下应变片热输出的理论表达式;然后根据材料的电阻温度效应推导出不同栅丝材料的电导率参数,利用有限元仿真得到不同材料栅丝的热输出特性,选择其中的两种栅丝材料作为本文的研究对象得到其在耦合作用下的热输出并与实验数据对比,相对误差小于7%.最后基于理论模型和实验结果,建立了高温应变片热输出补偿模型,补偿修正后结果与理论值误差在9%以内,补偿效果良好.","高温应变片,热输出,应变测量,精度,耦合特性"
机理模型与集成学习混合驱动的机器人关节摩擦建模方法,"邓金栋,倪鹤鹏,姬帅,梁亮,邹风山,叶瑛歆",机器人一体化关节广泛应用于医疗、协作机器人等领域，其摩擦特性是影响机器人性能的关键因素. 为此，提出了一种机理模型与集成学习混合驱动的机器人关节摩擦建模方法，以提高模型精度. 首先，综合考虑转速、负载等关节摩擦特性的影响因素及其周期波动特性，基于先验知识和物理分析分别建立了伺服电机与谐波减速器的参数化机理模型，描述摩擦特性的变化规律. 然后，针对机理建模中因线性假设、忽略高阶项等产生的非线性残差，提出了基于eXtreme gradient boosting (XGBoost)的残差补偿模型建模方法，通过采用Boosting集成学习策略，提高残差补偿模型的泛化能力. 同时，采用贝叶斯优化方法进行XGBoost模型的超参数寻优，以提高模型精度和训练效率. 相比于传统的参数化机理模型，本文所提出的混合驱动模型具有更高精度. 与反向传播神经网络、支持向量机、长短时记忆神经网络等多种典型方法的对比实验表明，本文所提出的基于XGBoost的残差补偿模型具有更强的特征提取能力，能够较好地预测强非线性的波动摩擦残差，有效地提高了整体模型的精度.,"机器人关节,摩擦特性建模,混合驱动,机理模型,集成学习"
基于Zero-Shot-CoT的对话价值观优先级标注方法,"马志强(通讯作者), 刘佳, 李鑫, 王奎波, 刘义兴, 叶浩然",价值观优先级识别旨在识别文本背后隐含的价值观优先级属性，从而判断其是否与特定的价值观及其类型相符，对于用户语言检测、评估大语言模型生成内容和探究大语言模型对人类价值观优先级的评估能力至关重要。目前，由于缺乏对话场景下的人类价值观识别数据集，在对话中建模并识别人类价值观优先级的研究仍未被触及。因此，构建高质量的对话价值观优先级识别数据集是首要任务。然而，标注对话价值观优先级识别数据集要求标注者具备一定专业知识储备，标注门槛较高，因此，本文基于大语言模型对现有的对话语料进行标注，提供了一个对话价值观优先级识别数据集的标注案例，扩展了基于大语言模型的数据标注的应用。具体来说，我们设计了一种基于Zero-Shot-CoT的对话价值观标注方法，模拟了人类标注结果，并通过本文提出的对话价值观优先级标注方法，构建了一个大规模对话价值观识别数据集ValueCon。有效性实验结果表明，与人工标注的数据集相比，ValueCon数据集能够更有效的训练并提升模型性能。,"数据标注,大语言模型,价值观计算,人工智能伦理,自然语言处理"
基于多模态数据融合的边缘设备轻量级垃圾分类方法和系统研究,"肖克江,陈亮,高阔,杨文齐,庞世燕",随着人工智能技术的发展，基于神经网络的垃圾分类方法成为解决垃圾处理问题的重要手段，并得到了广泛应用. 但对于边缘设备而言，神经网络的可更新性与准确率提升仍需进一步研究. 本文提出了一种面向边缘设备的垃圾分类方法和系统. 首先，为解决神经网络在增量学习时面临的遗忘问题，本文采用多步知识蒸馏对AlexNet网络进行类别增量学习，形成了适用于垃圾分类的教师–助教–学生模型，使得AlexNet网络在学习新类别时保持对旧类别的判断能力. 其次，为克服图像特征不明显导致分类准确率降低的问题，本文引入了金属传感器数据和重量传感器数据，通过Q-learning算法将图像分类结果与多传感器数据进行加权融合，提高了分类的准确率和鲁棒性. 最后，本文在树莓派4B平台上设计与实现了垃圾分类系统，并在公开数据集TrashNet和自建数据集上进行了对比实验. 实验结果表明，所实现的垃圾分类系统在自建数据集的垃圾分类任务中平均分类准确率达到89.7%，单次分类平均所需时间为130 ms，实现了快速准确的垃圾分类，相较基于MobileNetV3的嵌入式算法提升了6.5%的准确率.,"垃圾分类,边缘设备,神经网络,知识蒸馏,类别增量学习,数据融合"
柔性隔离层下多漏斗散体矿岩力链演化特征的离散元模拟,"陈庆发,王少平,秦世康",为进一步揭示柔性隔离层下散体介质流动过程的内部作用机理，基于离散元软件PFC开展了柔性隔离层下散体介质流力链演化特征的数值试验研究。结合接触力学及统计力学相关知识，对多漏斗放矿过程中散体介质体系内力链长度、数量、强度、方向和准直系数等的演化特征进行了量化研究。研究发现：多漏斗放矿过程中，强接触及力链接触占比均比较稳定，其中强接触占比稳定在33%左右，力链接触占比稳定在16%左右，上下波动幅度均不超过2%；力链总数随着放矿次数的增加不断波动减少，并在放矿后期稳定在790条左右；不同放矿次数下力链长度的概率分布几乎一致，均随着力链长度的增加呈指数形式递减；力链强度的概率分布随着放矿次数的增加先呈指数形式上升再呈指数形式下降，并在0.7$\bar F$（$\bar F$为平均接触力）处出现一峰值；放矿初始阶段，力链主要沿铅垂方向分布，力链方向分布形态近似花生状；此后随着矿石颗粒的持续放出，散体介质体系内部局部应力集中现象明显，力链分布主方向由1个演变为4个（铅垂方向、水平方向及与水平方向呈±60°夹角方向）；力链准直系数随着放矿次数的增加呈指数形式增长并逐渐保持稳定。,"柔性隔离层,散体介质,力链,同步充填,离散元,流动规律"
基于BCI与VR的认知诊疗应用,"万象隆,傅岸峰,要逸铎,刘天歌,段丁娜,谢雪光,于昊,李丹阳,文冬",认知涉及注意力、记忆、情感，是人类获取和应用知识的基本过程. 随着全球老龄化加速，认知障碍如轻度认知障碍（MCI）、阿尔茨海默病（AD）和痴呆症已成为重大健康问题. 早期诊断和治疗认知障碍能够改善患者生活质量并减轻社会负担，但药物治疗、功能性磁共振成像（fMRI）和功能性近红外光谱（fNIRS）等传统方法存在诊断准确性低、药物效果有限及评估工具缺乏等问题. 脑机接口（BCI）和虚拟现实（VR）技术的结合，为认知诊疗提供了新的解决方案. BCI通过分析大脑信号，实现脑与计算机或其他设备之间的信息交换，在运动功能障碍康复中已有成功应用. VR通过沉浸式的虚拟环境，为认知训练和康复提供逼真互动体验. BCI‒VR技术结合多感官刺激和实时反馈，增强了认知训练效果. 本文回顾了BCI和VR技术在认知诊断和治疗中的应用现状，介绍了基于脑电图（EEG）、fMRI和fNIRS的BCI诊断方法以及基于VR的诊断方法，并探讨了这些技术的优势与挑战. 此外，分析了跨个体、跨场景脑电信号分析对提高认知障碍评估精准性和有效性的贡献. 总结了BCI‒VR技术在认知行为治疗、记忆与注意力训练、神经康复及情感调节等方面的应用，强调了BCI‒VR技术在认知障碍治疗中的潜力. 尽管BCI‒VR技术展现了广阔前景，但仍面临设备复杂、个性化设计不足，以及实验样本局限等挑战. 未来的发展方向包括设备的小型化与低成本化、多模态BCI技术及大语言模型的应用，同时，需要加强政产学研医的深入合作以推动BCI‒VR技术在认知诊疗领域的临床转化.,"认知障碍,脑机接口,虚拟现实,认知诊疗,神经康复"
照度条件自适应的粒度渐进多模态图像融合方法,"王传云,孙冬冬,周明奇,王田,高骞,李照奎",为应对光照条件复杂多变下的多场景视觉感知挑战，本文提出了一种照度条件自适应的粒度渐进多模态图像融合方法. 首先，设计了基于大模型的场景信息嵌入模块，通过预训练的图像编码器对输入的可见光图像进行场景建模，并利用不同的线性层对场景向量进行处理. 随后，利用处理后的场景向量对图像重建阶段的图像特征在通道维度上进行调控，使得融合模型能够根据不同的场景光照生成不同风格的融合图像. 其次，为了解决现有特征提取模块在特征表达上的不足，本文设计了基于状态空间方程的特征提取模块，以线性复杂度实现全局特征感知，减少了信息传输过程中的信息丢失，提升了融合图像的视觉效果. 最后，设计了粒度渐进融合模块，利用状态空间方程对多模态特征进行全局聚合，并引入跨模态坐标注意力机制对聚合后的特征进行精细调优，从而实现多模态特征从全局到局部的多阶段融合，增强了网络的信息整合能力. 在训练过程中，本文采用先验知识生成增强图像作为标签，并根据不同环境构建同源与异构的损失函数，以实现场景自适应的多模态图像融合. 实验结果显示，本文方法在暗光场景数据集MSRS和LLVIP、混合光照数据集TNO、连续场景数据集RoadScene以及雾霾场景数据集M3FD上的表现均优于11种先进算法，在定量和定性对比中取得了更好的视觉效果和更高的定量指标. 所提出的方法在自动驾驶、军事侦察和环境监控等任务中展现出较大的潜力.,"视觉感知优化,图像融合,多模态,场景自适应,状态空间模型,跨模态注意力机制"
基于大语言模型和机器学习模型协作的特征筛选管道助力缓蚀剂精准预测,"杨景智,刘典典,龚海燕,郭鑫,金宇婷,马菱薇,张达威,李晓刚",从工农业生产到国防科技，材料腐蚀遍及国民经济中的各个领域，严重威胁设施装备服役安全，造成巨大的经济损失，对人类生命健康产生极大的威胁和隐患. 金属缓蚀剂能够改变金属表面状态，使电化学反应的活化能垒增高，从而减缓金属腐蚀速率. 缓蚀剂具有低剂量、低成本、高效率等优点，因此成为应用最广泛的腐蚀抑制手段之一. 然而，缓蚀剂的种类多样，作用机制复杂，且与环境因素密切相关. 传统的腐蚀研究方法，比如失重测试和电化学测试等通常需要大量的人力、物力成本和时间消耗，极大地阻碍了高性能缓蚀剂的设计与应用. 需要一种更加高效的技术手段推动缓蚀剂的研究. 近年来，材料基因工程技术的发展引领着腐蚀研究从经验试错向数字化、智能化方向变革，利用人工智能技术可实现对现有数据进行分析来预测庞大的未知空间，并探究材料成分、结构与性能的潜在关系. 本文基于大语言模型（LLM）和机器学习模型协作的特征筛选管道，借助系统性腐蚀知识注入、提示词设计和递归筛选等技术，从209种特征描述符中筛选得到13种与饱和CO2环境下缓蚀性能最相关的描述符，这些描述符涉及分子物理化学性质，分子结构性质以及环境参数. 筛选后，模型预测的均方误差由121降到11. 后续的腐蚀实验验证了模型的预测精度与泛化能力. 本文开发的缓蚀剂特征筛选流程与机器学习模型，显著提升了CO2环境下高性能缓蚀剂的研发效率.,"腐蚀与防护,缓蚀剂,机器学习,大语言模型,饱和CO2"
