标题,作者,摘要,关键词
嵌入共识知识的因果图文检索方法,"梁彦鹏,刘雪儿,马忠贵,李卓",跨模态图像−文本检索是一项在给定一种模态（如文本）的查询条件下检索另一种模态（如图像）的任务. 该任务的关键问题在于如何准确地测量图文两种模态之间的相似性，在减少视觉和语言这两种异构模态之间的视觉语义差异中起着至关重要的作用. 传统的检索范式依靠深度学习提取图像和文本的特征表示，并将其映射到一个公共表示空间中进行匹配. 然而，这种方法更多地依赖数据表面的相关关系，无法挖掘数据背后真实的因果关系，在高层语义信息的表示和可解释性方面面临着挑战. 为此，在深度学习的基础上引入因果推断和嵌入共识知识，提出嵌入共识知识的因果图文检索方法. 具体而言，将因果干预引入视觉特征提取模块，通过因果关系替换相关关系学习常识因果视觉特征，并与原始视觉特征进行连接得到最终的视觉特征表示. 为解决本方法文本特征表示不足的问题，采用更强大的文本特征提取模型BERT（Bidirectional encoder representations from transformers，双向编码器表示），并且嵌入两种模态数据之间共享的共识知识对图文特征进行共识级的表示学习. 在MS-COCO数据集以及MS-COCO 到Flickr30k上的跨数据集实验，证明了本文方法可以在双向图文检索任务上实现召回率和平均召回率的一致性改进.,"因果推断,图像−文本检索,跨模态,计算机视觉,自然语言处理"
基于贝叶斯图注意力Transformer的航空发动机剩余使用寿命概率预测,"胡艳艳,白雅婷",航空发动机作为飞机的心脏，其健康状态对飞机的安全飞行至关重要.深度学习强大的数据挖掘能力，为通过海量历史数据预测航空发动机的剩余使用寿命提供了新方法. 然而，传统基于深度学习的方法大都关注于挖掘数据在时间上的关联，而忽略了多个传感器监测数据之间复杂的非欧氏空间关系. 此外，少有研究考虑数据或者预测过程本身具有的不确定性，缺乏对预测结果可靠性的评估. 为解决上述问题，本文提出了一种基于贝叶斯网络和图注意力Transformer的航空发动机剩余使用寿命概率预测方法. 将图注意力机制融入Transformer的时间多头注意力模块，结合图注意力网络在空间特征提取上的优势和Transformer模型在时间特征提取的优势，实现数据特征时空关系的联合提取. 同时，利用改进的贝叶斯网络度量预测不确定性，在得到剩余使用寿命预测点值的同时给出相应的置信区间. 最后，通过在公开航空发动机数据集上的实验，证明了所提模型的有效性和先进性.,"航空发动机,剩余使用寿命,图注意力Transformer,贝叶斯网络,概率预测"
人工智能在军事对抗中的应用进展,"张智敏,石飞飞,万月亮,徐阳,张帆,宁焕生",人工智能特别是近几年深度学习的飞速发展，深刻的影响着军事领域，并赋予现代战争智能性、交叉性和破坏性的新特点。要想在军事对抗中取胜，不仅需要机器智能，同样需要人类智慧，能在军事作战中达到人机高度协同，是实现人与机器取长补短的重要途径，也是在愈发复杂的战争形势中取得胜利的关键。本文将军事对抗中人工智能的应用作为切入点，罗列了代表性国家在军事领域对人工智能的重视程度，从对抗策略和物联网三层架构两大角度对发展现状进行总结，同时指出在目前军事领域使用人工智能存在的不足，对人机融合智能在军事对抗中的发展趋势进行分析，并给出可能实现的技术方案，对未来的研究方向作出展望。如何实现高度的人机融合，从而获得“1+1>2”的良好效果，是人工智能在军事对抗中的下一步研究工作。,"人工智能,军事对抗,物联网,人机融合智能,技术方案"
热疗机器人在网络病治疗中的应用,"殷雪艳,石飞飞,王进强,宁焕生",网络病指的是因过度使用互联网或电子设备，导致身体和心理上的一系列问题，例如眼睛疲劳、焦虑症等. 随着互联网的普及和移动设备的广泛使用，长时间使用电脑屏幕和手机导致的网络病已成为影响人们健康的一大问题. 热疗法作为治疗网络病的重要方法之一，精准控制热疗温度是关键，但受医师经验差异的限制，其推广受到制约. 热疗机器人基于深度学习技术精准识别热疗区域，通过温控系统实时调节温度，具有操作稳定、精准和高效等优点，能够提高热疗法的安全率，并能够避免一些人为因素带来的风险. 本文围绕国内外热疗机器人在网络病治疗中的应用现状进行分析，在此基础上，阐述了热疗技术、目标区域导航与定位技术、机器人结构设计和安全保护技术等四方面关键技术，并分析目前存在的不足，系统展望了该技术在网络病治疗中的发展趋势.,"网络病,热疗,机器人,导航与定位,安全保护"
低空物流无人机分层协同关键技术研究进展,"邓健, 张洪海",低空物流无人机分层协同技术是突破物流全流程配送瓶颈的核心支撑，围绕“协同任务分配-协同航迹规划-动态轨迹重规划”三层架构，综述其关键技术研究进展。协同任务分配层聚焦订单聚类与多机匹配，涵盖基于优化模型（混合整数线性规划、动态分层规划、启发、多目标融合）、市场机制（拍卖竞价、博弈联盟优化）、群体智能（蚁群、遗传）及强化学习（深度强化、动态强化学习）的算法，解决多约束耦合与协同任务分配的难题。通过约束解耦、无碰撞轨迹设计、优先级感知算法，提升分配效率与动态适应性。协同航迹规划层面向三维空域路径生成，结合精细优化（多目标解演进机制、随机约束）、群智（进化、群集优化）、强化学习（深度、迁移学习）及混合框架，平衡了避障、能耗与效率，增强航迹安全性与泛化性。动态轨迹重规划层针对环境突变，依托搜索（随机采样）、优化（进化算法动调）、智能体（强化学习动态规划）及物理模型（人工势场）算法实现快速调整，保障实时性与鲁棒性。综合分析当前技术面临多约束强耦合、动态适应性不足、大规模协同效率低、场景脱节等瓶颈，未来需向跨层协同优化、场景定制融合、大规模集群智能、动态鲁棒设计及绿色节能方向创新，推动规模化落地。,"物流无人机,协同任务分配,协同航迹规划,动态轨迹重规划,分层协同"
面向工业场景的无人机时空众包资源分配,"刘娅汐,李旭龙,霍佳皓,皇甫伟",无人机时空众包资源分配是工业物联网能源管理中的重要任务之一. 尽管现有方法考虑了联合反映时间敏感性和公平性的信息新鲜度指标，但忽略了无人机禁飞区和窃听者对数据新鲜度的影响. 本文提出了一种基于深度强化学习的无人机时空众包资源分配方法，在考虑无人机禁飞区约束和对窃听者发送干扰信号以保障数据安全的情况下，最小化平均信息新鲜度和物联网设备能耗，从而得到最优无人机轨迹、发射干扰信号功率和物联网发射功率. 然而，无人机时空众包中的资源分配复杂且存在挑战，主要表现为决策变量类型多且与考虑服务质量要求的系统性能指标关系复杂. 本文将该问题建模为马尔可夫决策过程并使用先进的深度强化学习算法求解该问题，即软演员–评论家（SAC）算法. 在多无人机场景下验证了所提出算法在解决无人机时空众包资源分配任务中的有效性和正确性. 另外，SAC算法相较于其他两种先进的深度强化学习算法，即深度确定性策略梯度算法和双延迟深度确定性策略梯度算法，具有更快的收敛速度和更优的解. 最后，分析了最优无人机数目的选择方案.,"无人机,工业能源管理,时空众包,资源分配,深度强化学习"
自动驾驶车辆换道意图识别研究现状,"方华珍,刘立,顾青,肖小凤,孟宇",近年来基于数据驱动的自动驾驶车辆换道意图识别研究取得了显著进展，学者们发布了大量的研究成果. 针对该领域面临的一些共性的技术挑战，如换道过程的认定、换道标签的缺失以及数据类别不均衡等问题，从不同的数据驱动方法进行分类，主要包括基于传统机器学习、基于深度学习和基于集成学习的换道意图识别方法，对近年来这些方法的研究成果进行了回顾和总结. 关于换道行为的认定，存在两种主流方案，即车辆穿越车道线和未穿越车道线. 对于未穿越车道线的车辆，主要应用于驾驶者换道意图的早期识别方法；而当车辆穿越过车道线时，则通常被用于完整的换道过程的识别. 在换道意图标注的研究中，研究者们针对固定时间窗口和航向角阈值对标注精度的影响进行了深入探讨. 为了找到最优参数，如最佳的固定时间窗口和航向角阈值，研究者们采用了网格搜索进行寻优. 虽然这种方法在固定的驾驶场景中表现良好，但在不同的驾驶场景中，如何实现参数的自适应调节仍然是一个挑战. 针对换道数据类别不均衡的问题，研究者采用两种策略：一是调整数据采样方法，利用欠采样和过采样技术平衡各类别样本数量；二是采用对不均衡数据适应性强的分类模型，如集成学习算法或代价敏感学习，以维持较好的分类性能.,"交通工程,自动驾驶,车辆,数据驱动,换道意图识别"
深度神经网络模型量化方法综述,"杨春,张睿尧,黄泷,遆书童,林金辉,董志伟,陈松路,刘艳,殷绪成",近年来，利用大型预训练模型来提高深度神经网络在计算机视觉以及自然语言处理等具体任务下的泛化能力和性能，逐渐成为基于深度学习的人工智能技术与应用的发展趋势. 虽然这些深度神经网络模型表现优异，但是由于模型的结构复杂、参数量庞大与计算成本极高，使得它们仍然难以被部署在如家电或智能手机等资源受限的边缘及端侧硬件平台上，这很大程度上阻碍了人工智能技术的应用. 因此，模型压缩与加速技术一直都是深度神经网络模型大规模商业化应用推广的关键问题之一. 当前在多种模型压缩与加速方案中，模型量化是其中主要的有效方法之一. 模型量化技术可以通过减少深度神经网络模型参数的位宽和中间过程特征图的位宽，从而达到压缩加速深度神经网络的目的，使量化后的网络能够部署在资源有限的边缘设备上，然而，由于量化会导致信息的大量丢失，如何在保证模型任务精度条件下实现模型量化已经成为热点问题. 另外，因硬件设备以及应用场景的不同，模型量化技术已经发展成为一个多分支的研究问题. 通过全面地调研不同角度下模型量化相关技术现状，并且深入地总结归纳不同方法的优缺点，可以发现量化技术目前仍然存在的问题，并为未来可能的发展指明方向.,"深度神经网络,模型压缩与加速,模型量化,量化感知训练,后训练量化,混合精度量化"
ViTAU：基于Vision transformer和面部动作单元的面瘫识别与分析,"高嘉,蔡文浩,赵俊莉,段福庆",面部神经麻痹（Facial nerve paralysis，FNP），通常称为贝尔氏麻痹或面瘫，对患者的日常生活和心理健康产生显著影响，面瘫的及时识别和诊断对于患者的早期治疗和康复至关重要. 随着深度学习和计算机视觉技术的快速发展，面瘫的自动识别变得可行，为诊断提供了一种更准确和客观的方式. 目前的研究主要集中关注面部的整体变化，而忽略了面部细节的重要性. 面部不同部位对识别结果的影响力并不相同，这些研究尚未对面部各个区域进行细致区分和分析. 本项研究引入结合Vision transformer（ViT）模型和动作单元（Action unit，AU）区域检测网络的创新性方法用于面瘫的自动识别及区域分析. ViT模型通过自注意力机制精准识别是否面瘫，同时，基于AU的策略从StyleGAN2模型提取的特征图中，利用金字塔卷积神经网络分析受影响区域. 这一综合方法在YouTube Facial Palsy（YFP）和经过扩展的Cohn Kanade（CK+）数据集上的实验中分别达到99.4%的面瘫识别准确率和81.36%的面瘫区域识别准确率. 通过与最新方法的对比，实验结果展示了所提的自动面瘫识别方法的有效性.,"Transformer,面部动作单元,多分辨率特征图,生成器,热力图回归"
利用变分卷积推断局部拓扑结构的图表示方法,"侯静怡,唐宇鑫,于欣波,刘志杰",深度学习技术的长足发展与数据算力的快速提升，极大地增加了各种结构图神经网络优化和实现的可行性，使得图结构数据的表示研究工作取得极大进展。已有的图神经网络方法主要关注图节点之间全局信息的传递，理论上可证明其强大的信息表示能力。然而，面向局部拓扑具有特殊语义的图结构数据表示时，这些通用方法缺乏灵活的局部结构表示机制，例如化学反应中组成分子的局部结构—官能团，其通常能够决定化学分子性质并且参与化学反应过程。进一步挖掘这些局部结构的信息对基于图表示的各类任务都是非常重要的，为此提出一个利用变分卷积推断局部拓扑结构的图表示方法，不仅考虑图节点在全局结构上的关系推理与信息传递，还基于变分推断自适应地学习图数据的局部拓扑结构，利用卷积操作对局部结构进行编码，从而进一步提高图神经网络的表达能力。本文工作在多个图结构数据集上进行实验，实验结果表明利用局部结构信息可以有效提升图神经网络在基于图的相关任务上的性能。,"图注意力网络,局部拓扑结构,变分推断,卷积神经网络,混合结构神经网络"
基于A-RAFT模型的垂直管道输送测速方法,"田惠东,邹敏,陈哲涵,马飞,刘博深",流速作为流动特性的重要参数之一，在垂直管道提升效率研究中有着重要地位. 以管道固液两相流为研究对象，研究管道测速的方法. 结合深度学习技术，提出了基于注意力机制的光流全场递归匹配模型（A-RAFT），提高了网络对速度场突变区域的估计能力；构建了一个虚实结合的数据集，用于训练神经网络模型. 对新提出的模型与数据集进行评估，结果显示：该模型在合成的图像上实现了高精度的速度场计算，与现有其他模型相比，估计误差减小了15.6%；开展了垂直管道固体颗粒输送的模拟实验，本模型在实验中所采集的真实流场数据上同样展现了准确的估计性能，该模型对颗粒速度的测量平均相对误差低于5%. 上述实验结果充分证明了该方法在速度场中有较高的估计精度，模型有较强的泛化能力. 这一研究能够为能源开采、隧道掘进、污水处理以及长距离管道运输等领域中的固液两相流特性分析提供新思路.,"管道流,流体测速,固液两相流,神经网络,管道输送"
面向大规模工业生产过程的数据驱动故障诊断方法综述,"于骞翔,李擎,李琳琳,王义轩",聚焦于大规模工业生产过程智能化、精准化和多源化的需求，故障诊断对保障工业生产过程的安全可靠运行与实时有效维护具有重要意义. 数据驱动方法作为一种创新范式，通过融合历史数据、实时数据以及多源信息，避免了对精确模型的依赖，能够有效提升故障检测与识别的准确率和效率. 首先，本文梳理了数据驱动框架下的故障诊断方法，着重探讨了信号处理、统计模式识别、多元统计等系统稳态特性分析方法，并针对系统的动态、非线性和非高斯分布等复杂特性，进一步综述了动态多元统计、子空间辨识、深度学习和核空间投影等故障诊断方法. 其次，介绍了大规模工业生产过程的分布式故障诊断方法. 从系统的分布式结构和分布式传感器网络出发，分别阐述了该方法在系统分解和数据融合、相关性分析以及一致性方法等三个方面的最新进展. 分布式故障诊断方法将监测职能分散到各子单元，使各子单元可根据自身及相邻子单元的运行状态自行做出安全性能判断，在大规模工业生产过程的监测和故障诊断中具有优势. 最后，总结了数据驱动的分布式故障诊断方法的实际应用，并指出其在定性定量混合分析、鲁棒性诊断和数据安全等方面的发展趋势.,"大规模系统,故障诊断,数据驱动,动态特性,分布式"
面向医疗健康领域的联邦学习综述：应用、挑战及未来发展方向,"张畅,李卫","本文综述了联邦学习（Federated learning, FL）在医疗健康领域的应用现状和面临的挑战. FL作为一种去中心化的机器学习范式，能够在不共享原始数据的前提下实现多方协作建模，特别适用于对隐私和安全性要求极高的医疗健康数据处理. 首先介绍了FL的定义和训练过程，重点探讨了其在医疗健康领域的主要应用，包括基于分类任务（如疾病诊断）、分割任务（如医学影像分割）以及其他任务（如电子健康记录分析）中的具体实践. 还深入分析了FL在医疗健康领域应用中面临的关键挑战：第一，数据异质性问题，不同医疗机构的数据分布差异显著，导致模型性能不稳定；第二，隐私保护问题，如何在训练和聚合过程中保障数据和模型的安全；第三，通信成本问题，特别是在大规模数据和多客户端场景下，通信开销较高. 针对上述挑战，本文提出了未来发展方向，包括个性化医疗与精准医疗的算法优化、疾病预测与早期干预的深度学习模型创新，以及医疗数据安全与隐私保护的强化. 总结了FL在医疗健康领域的潜在价值与关键问题，为未来相关技术的研究与应用提供重要参考.","联邦学习,医疗健康,数据异质,隐私安全,应用"
GLIHamba: 基于Mamba的整体–局部上下文图像和谐化,"孙金胜,潘姣,郭宇,姚超",近年来，包含Transformer组件的深度学习模型已经推动了包括图像和谐化在内的图像编辑任务的快速发展. 与使用静态局部滤波器的卷积神经网络(CNN)相反，Transformer使用自注意力机制允许自适应非局部滤波来敏感地捕获远程上下文. 现有基于CNN和Transformer等方法图像和谐化方法，未能很好的兼顾局部内容和整体风格的一致性，导致前景与背景的视觉一致性不足. 本文提出了一种用于图像和谐化的新型网络模型，基于Mamba的整体–局部上下文图像和谐化（Global-local context image harmonization based on Mamba，GLIHamba），将全局特征和局部特征引入到Mamba模型，建立具有整体–局部上下文感知能力的图像和谐化模型. 具体来说，介绍了一种新的基于学习的图像和谐化模型GLIHamba，其核心组件包括局部特征序列提取器(LFSE)和全局特征序列提取器(GFSE). LFSE维护图像高维特征中相邻特征的局部一致性，显式地确保空间上邻近的特征沿着通道保持一致性，从而保证和谐化结果的局部内容完整一致. 另一方面，GFSE在所有空间维度上建立全局序列，保持图像的整体风格一致性. 研究结果表明，GLIHamba提供了优于最先进的基于CNN和Transformer的方法的性能.,"图像和谐化,状态选择空间模型,图像编辑,Mamba模型,全局–局部特征提取"
基于自适应—相似修正的网络安全态势预测方法,"王娜, 常娅明, 刘佳林",针对网络安全态势预测问题，提出一种基于自适应—相似修正的预测方法。首先，提出一种步长自适应策略来确定预测模型的初始输入。即，引入变分模态分解来提取原始态势数据集的模态分量集；并对分量集中的周期分量，利用快速傅里叶变换确定其周期个数，作为其对应预测模型的输入长度；对非周期分量，利用递减Lempel-Ziv复杂度准则来自适应确定其对应预测模型的输入长度。其次，对模态分量的每个分量值，由训练数据集来构建其对应的支持向量机子模型。再次，在给定的初始输入长度下，基于余弦方差相似度判据，在训练数据集中筛选与测试集初始输入长度相同、变化趋势相似的数据子集。然后，基于上述支持向量机子模型，对该相似数据子集获得初始预测结果，并将相似数据子集与其初始预测结果作为最终的预测模型输入，实现对初始支持向量机子模型的修正。最后，在标准网络安全数据集NSL-KDD上的实验表明：所提单步预测方法均方误差(MSE)为0.000175、平均绝对误差(MAE)为0.0107、决定系数(R2)为98.40%，其预测精度显著优于传统浅层学习、深度学习及支持向量机方法；在四步预测中，引入修正机制后效果更明显，与修正前相比，MAE、MSE分别降低了29.00%、53.69%，R2提升了5.03%；综上，验证了基于自适应—相似修正的预测方法的较高预测准确性。,"态势预测,快速傅里叶变换,支持向量机,Lempel-Ziv复杂度,余弦方差相似度"
基于物理信息神经网络的锂离子电池温度预测研究,"薛珂, 张忠贵, 王宇航, 苑清扬, 黄廷钰, 杜宪, 张博(通讯作者)",准确的温度监测对电动汽车、机器人及储能系统中动力电池的热安全管理至关重要。针对现有传感器与电热建模技术难以快速获取大尺寸电池整体温度分布的问题，本文提出一种基于物理信息神经网络（PINN）的电池温度场建模方法。该模型融合电池热建模与深度学习技术，实现无温度传感器工况下电池系统时空温度分布的实时监测。关键创新之处在于基于实验数据构建电池物理模型，耦合电池产热率方程与数据驱动的非线性映射，增强了预测精度，一个训练良好的模型可以用不使用传感器预测整个电池内的温度分布。实验结果表明，在不同的恒流充放电与随机电流动态工况下，该模型温度预测的最大均方根误差（RMSE）与平均绝对误差（MAE）均低于0.9 ℃。相较于传统方法，本模型在有限训练数据条件下显著提升预测精度与可解释性，为电池管理系统提供高精度温度分布依据，对热安全策略制定具有重要应用价值。,"锂离子电池,电池生热率,温度预测,机器学习,物理信息神经网络"
涂层等离子喷涂技术进展研究：从粒子飞行到飞溅形成,"刘琨, 郭梦宇, 何文斌, 都金光, 曹阳, 张蕾",等离子喷涂技术因其高效性和多功能性而在工业领域得到了广泛应用。通过利用超高温和高速喷射，该技术能迅速加热并加速金属或陶瓷颗粒，从而形成高性能涂层。然而，优化涂层质量仍是一个复杂的挑战，因为其微观结构受到颗粒飞行行为、喷涂参数和基体条件的显著影响。本研究旨在从理论上探讨颗粒飞行动态与涂层性能之间的关系，以实现对涂层微观结构的精确控制。这篇综述总结了颗粒在飞行过程中的加速、加热、扩散和凝固行为，以及在与基体碰撞后的行为。通过采用粒子诊断技术和多物理场模拟，定量分析了诸如喷枪电流、气体流量和喷射距离等喷涂参数对颗粒速度、温度和形态的影响。此外，还深入探讨了粒子飞行特性（如雷诺数和韦伯数）、扩散行为以及调节涂层微观结构的界面传热机制之间的内在关系。文中还强调了机器学习和深度迁移学习技术在等离子喷涂中的应用。研究进展表明，精确控制粒子飞行的温度和速度对于提高涂层的结合强度和密度至关重要。此外，精确调控的喷涂参数能够显著减少诸如孔隙和微裂纹等缺陷。本综述不仅加深了对粒子飞行行为和涂层形成机制的理解，还为先进陶瓷涂层系统的开发提供了理论指导和技术策略。,"等离子喷涂,涂层,粒子飞行动力学,微观结构控制,人工智能"
基于YOLOv3的无人机识别与定位追踪,"陶磊,洪韬,钞旭",近年来，无人机入侵的事件经常发生，无人机跌落碰撞的事件也屡见不鲜，在人群密集的地方容易引发安全事故，所以无人机监测是目前安防领域的研究热点。虽然目前有很多种无人机监测方案，但大多成本高昂，实施困难。在5G背景下，针对此问题提出了一种利用城市已有的监控网络去获取数据的方法，基于深度学习的算法进行无人机目标检测，进而识别无人机，并追踪定位无人机。该方法采用改进的YOLOv3模型检测视频帧中是否存在无人机，YOLOv3算法是YOLO（You only look once，一次到位）系列的第三代版本，属于one-stage目标检测算法这一类，在速度上相对于two-stage类型的算法有着明显的优势。YOLOv3输出视频帧中存在的无人机的位置信息。根据位置信息用PID（Proportion integration differentiation，比例积分微分）算法调节摄像头的中心朝向追踪无人机，再由多个摄像头的参数解算出无人机的实际坐标，从而实现定位。本文通过拍摄无人机飞行的照片、从互联网上搜索下载等方式构建了数据集，并且使用labelImg工具对图片中的无人机进行了标注，数据集按照无人机的旋翼数量进行了分类。实验中采用按旋翼数量分类后的数据集对检测模型进行训练，训练后的模型在测试集上能达到83.24%的准确率和88.15%的召回率，在配备NVIDIA GTX 1060的计算机上能达到每秒20帧的速度，可实现实时追踪。,"5G,目标检测,YOLOv3,PID,无人机追踪"
一种用于景象匹配导航的新型图像配准算法,"杨鸿睿,朱启举,曹培贤,顾浩,赵东东",高精度定位与导航技术是实现无人机自主飞行的核心要素之一，当在卫星拒止条件下，卫星导航无法进行准确定位时，景象匹配视觉导航技术因其设备结构的简洁性和被动式定位的高精度而备受关注，当它与惯性系统结合时，能够构建出一个高度自主且精确的导航系统. 在景象匹配系统中，最为关键的步骤是将实时拍摄到的图像与预先装载的基准图进行精确配准. 然而，这一过程面临着无人机高速飞行和基准图多源性的双重挑战，这要求图像配准在确保精度的同时，还必须具备快速响应和强鲁棒性. 为了克服这些难题，本文提出了一种名为Dimensionality reduction second-order oriented gradient histogram（DSOG）的描述子，该描述子通过描述图像定向梯度信息的像素特征，有效地实现了图像特征的提取. DSOG描述子采用区域特征的特征提取策略，实现对不同传感器采集到的图像数据进行精准匹配，满足飞行器在全天候的条件下实现高精度导航的需求. 在此基础上，还设计了一种优化后的相似度度量匹配模板，该模板在频域上对传统的基于快速傅里叶变换的特征表示快速相似度度量算法进行了优化，减少了匹配过程中的冗余计算. 本文提出的匹配框架经过对不同类型多模态图像的广泛评估，实验数据包括可见光-可见光、可见光-合成孔径雷达、可见光-高光谱等异源图像对，同时，将提出的算法于目前主流的图像配准算法进行了对比，结果显示，与当前主流方法相比，在保持匹配精度的前提下，显著提升了计算效率，同时相比于深度学习算法，本文提出的算法无需经过大量的数据训练即可得到实际使用所需的泛化性. 具体来说，本文提出的算法在多模态图像的平均匹配时间仅为1.015 s，不仅满足了无人机景象匹配导航对实时性和鲁棒性的要求，而且为无人机的广泛应用提供了强有力的技术支持.,"卫星拒止,景象匹配导航,图像配准,无人机,图像区域特征"
基于学习机制的多智能体强化学习综述,"王若男,董琦",强化学习作为人工智能领域的重要分支，以其在多智能体系统决策中的卓越表现，成为当前主流方法. 然而，传统的多智能体强化学习算法在面对维度爆炸、训练样本稀缺和难以迁移等方面仍然存在困难. 为了克服这些挑战并提升算法性能，本文从学习机制的角度入手，深入研究学习机制与强化学习的深度融合，以推动多智能体强化学习算法的发展. 首先，介绍了多智能体强化学习算法的基本原理、发展历程以及算法所面临的难点. 随后，引入了基于学习机制的多智能体强化学习方法这一种新兴方向. 这些学习机制，如元学习和迁移学习，被证明可以有效提升多智能体的学习速度，并缓解维度爆炸等问题. 按照课程学习、演化博弈、元学习、分层学习、迁移学习等学习机制在多智能体强化学习中的应用进行了综述，通过罗列这些方法的研究成果，论述了各种方法的局限性，并提出了未来改进的方向. 总结了这类融合算法在实际应用中取得的提升成果和实际应用，具体列举了基于学习机制的多智能体强化学习算法在交通控制、游戏领域的实际应用案例. 同时，对这类融合算法未来在理论、算法和应用方面的发展方向进行了深入分析. 这涵盖了对新颖理论的探索、算法性能的进一步优化，以及在更广泛领域中的推广应用. 通过这样的综述和分析，为未来多智能体强化学习算法的研究方向和实际应用提供了有益的参考.,"强化学习,多智能体博弈,学习机制,课程学习,演化强化学习"
基于群体智能优化的MKL-SVM算法及肺结节识别,"李阳,常佳乐,王宇阳",针对单核学习支持向量机无法兼顾学习能力与泛化能力以及多核函数参数寻优问题，提出了一种基于群体智能优化的多核学习支持向量机算法。首先，研究了五种单核函数对支持向量机分类性能的影响，进一步提出具有全局性质的多项式核和局部性质的拉普拉斯核凸组合形式的多核学习支持向量机算法；其次，为增加粒子多样性及快速寻优，将粒子群优化算法引入了遗传算法中的杂交操作，并用此改进的群体智能优化算法对多核学习支持向量机进行参数寻优。最后，分别采用深度特征与手工特征作为识别算法的输入，研究表明采用深度特征优于手工特征。故本文采用深度特征作为多核学习支持向量机的输入，以交叉遗传与粒子群混合智能优化算法作为其寻优方式。实验选取合作医院数据集对所提算法进行训练并初步测试，进一步为了验证所提算法的泛化能力，选取公开数据集LUNA16进行测试。实验结果表明，本文算法易于跳出局部最优解，提升了算法的学习能力与泛化能力，具有较优的分类性能。,"核函数,支持向量机,交叉遗传,粒子群优化,深度特征"
异构无人系统协同控制研究进展,"郭兴,李擎,姚其家,鲁小雅",面对复杂化、多样化和立体化的任务需求，异构无人系统将空、地、海跨域优势互补，最大化提升系统各方面能力，为未来协同作战和智慧民生提供有力的技术保障. 首先，梳理了国内外在跨域协同领域出台的推动性文件，介绍了异构无人系统在军用、科研院所和民用等三方面的实际应用. 其次，针对异构无人系统关键技术之一的协同控制，分别阐述了异构无人系统协同控制在一致性、轨迹跟踪和编队‒合围等三方面的最新进展. 此外，还特别讨论了在不同通信条件下协同控制所面临的挑战和解决方案. 其中，由于一致性和轨迹跟踪存在上层控制理论性和下层控制可行性的区别，进一步从滑模控制、自适应控制、反步控制和自适应动态规划等四方面对轨迹跟踪研究展开阐述. 然后，为了更好地促进异构无人系统协同控制在实际中的应用，通过总结前人相关工作，讨论了其在多约束控制与实时性、多任务切换控制和跨域通信下稳定性等三方面亟需解决的技术瓶颈. 最后，综合异构无人系统协同控制研究现状和实际需求来看，指出了其在深度强化学习与分布式博弈、人机交互以及反群体智能等三方面的发展趋势.,"异构无人系统,协同控制,跨域协同,任务需求,技术瓶颈"
基于时间差分误差的离线强化学习采样策略,"张龙飞,冯旸赫,梁星星,刘世旋,程光权,黄金才",离线强化学习利用预先收集的专家数据或其他经验数据，在不与环境交互的情况下离线学习动作策略。与在线强化学习相比，离线强化学习具有样本效率高、交互成本低的优势。强化学习中通常使用Q值估计函数或Q值估计网络表示状态−动作的价值。因无法通过与环境交互及时修正Q值估计误差，离线强化学习往往面临外推误差严重、样本利用率低的问题。为此，提出基于时间差分误差的离线强化学习采样方法，使用时间差分误差作为样本优先采样的优先度度量，通过使用优先采样和标准采样相结合的采样方式，提升离线强化学习的采样效率并缓解分布外误差问题。同时，在使用双Q值估计网络的基础上，根据目标网络的不同计算方法，比较了3种时间差分误差度量所对应的算法的性能。此外，为消除因使用优先经验回放机制的偏好采样产生的训练偏差，使用了重要性采样机制。通过在强化学习公测数据集—深度数据驱动强化学习数据集上与已有研究成果相比，基于时间差分误差的离线强化学习采样方法在最终性能、数据效率和训练稳定性上均有更好的表现。消融实验表明，优先采样和标准采样相结合的采样方式对算法性能的发挥至关重要，同时，使用最小化双目标Q值估计的时间差分误差优先度度量所对应的算法，在多个任务上具有最优的性能。基于时间差分误差的离线强化学习采样方法可与任何基于Q值估计的离线强化学习方法结合，具有性能稳定、实现简单、可扩展性强的特点。,"离线,强化学习,采样策略,经验回放,时间差分误差"
基于二维和三维信息融合的人耳识别,"李阳,穆志纯","针对人耳识别中存在姿态、光照变化等问题,提出信息融合的方法,将二维人耳和三维人耳的信息进行融合,以克服姿态、光照对人耳识别的影响.对于二维人耳,由于姿态等的变化会导致人耳图像数据在高维空间中呈现出非线性流形结构,采用等距映射这种流形学习算法进行特征提取,对三维深度人耳则采用3D局部二值模式进行特征提取,然后分别进行二维和三维人耳识别,最后在决策层进行融合识别.在79人的人耳数据库上进行了实验,每人8幅带姿态的二维人耳图像和6幅带光照的三维人耳深度图像.实验结果表明,与单独的二维人耳和三维人耳识别相比,融合之后的识别效果和认证效果均有很大的改善.","模式识别,信息融合,二维,三维,映射,人耳"
